year,week_num,user_count,cumulative_users
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,0,1,23
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,1,1,53
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,2,1,101
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,3,1,137
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,4,1,167
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,5,1,215
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,6,1,253
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,7,1,295
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
2013,8,1,329
